id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524120736776,-71.02936148859783,Entire home/apt,125,30,14,2018-07-02,0.34,1,89
5506,**$99 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32980850423623,-71.09559469348262,Entire home/apt,145,3,80,2018-11-14,0.68,6,355
6695,$125 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.329940605699676,-71.093505106791,Entire home/apt,169,3,83,2018-11-12,0.73,6,337
6976,Mexican Folk Art Haven in Boston Residential Area,16701,Phil,,Roslindale,42.2924378866568,-71.13576525374667,Private room,65,3,75,2018-10-23,0.66,1,105
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35918691518732,-71.06265110707376,Entire home/apt,99,30,21,2018-10-26,0.40,13,66
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698264322,-71.06201144020237,Entire home/apt,154,30,24,2018-08-15,0.22,13,362
9765,[1294] Grand Studio - South End,25188,Seamless,,South End,42.34259444459376,-71.07942070179357,Entire home/apt,229,2,9,2015-10-24,0.10,66,364
9824,[1273] Fab Studio- close to Newbury,25188,Seamless,,Back Bay,42.34949627476548,-71.08595384961086,Entire home/apt,209,2,23,2018-10-25,0.25,66,355
9827,[1168-1C] Luxury 1 BR High-Rise in Beacon Hill,25188,Seamless,,Downtown,42.352148584714804,-71.06330132541606,Entire home/apt,389,3,8,2014-06-02,0.08,66,365
9855,[1330-1D] Lux 1BR  w/ Den - Fenway,25188,Seamless,,Fenway,42.34337078514998,-71.09870840549256,Entire home/apt,259,4,3,2010-11-04,0.03,66,89
9857,"[1280] Well-Appointed,  2 BR Suite in Back Bay",25188,Seamless,,Back Bay,42.35428957525216,-71.0727722486024,Entire home/apt,342,2,25,2018-10-19,0.29,66,358
9858,[1356-2] 2BR Exec Penthouse Suite,25188,Seamless,,Back Bay,42.344471434571375,-71.08178606219539,Entire home/apt,489,2,1,2015-06-09,0.02,66,364
9859,[1274] 1BR Half Block from Newbury,25188,Seamless,,Back Bay,42.35025967200265,-71.08471827768018,Entire home/apt,179,2,2,2013-07-05,0.02,66,127
9860,[1277] 1BR on Beacon St - Back Bay,25188,Seamless,,Back Bay,42.35411529429635,-71.07441444576361,Entire home/apt,259,2,22,2016-04-10,0.21,66,354
9870,[1293-1] - 1 Bedroom in South End,25188,Seamless,,South End,42.34422661526431,-71.07787818266341,Entire home/apt,279,2,8,2018-10-14,0.10,66,358
10758,Budget Single - share bath,38440,The Farrington Inn,,Allston,42.35344916645469,-71.13179683452269,Private room,115,1,2,2015-10-03,0.04,4,0
10807,Budget Double - share bath ,38440,The Farrington Inn,,Allston,42.35412285944836,-71.1304857316918,Private room,80,1,1,2014-10-13,0.02,4,77
10809,Private Room with 2 Beds share Bath,38440,The Farrington Inn,,Allston,42.35478799360237,-71.13208846148751,Private room,100,1,14,2016-08-15,0.25,4,0
10810,Two Bedroom Apartment,38440,The Farrington Inn,,Allston,42.35335918308216,-71.13034354292151,Entire home/apt,250,4,0,,,4,0
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34972969320107,-71.0879236417328,Entire home/apt,179,1,7,2018-09-30,0.20,8,360
10813,JUST RENOVATED-Back Bay Apt Studio-,38997,Michelle,,Back Bay,42.34961258120306,-71.08903821762654,Entire home/apt,179,3,1,2016-05-23,0.03,8,284
10986,Waterfront Furnished Apt,38997,Michelle,,North End,42.36351987255669,-71.05075391788681,Entire home/apt,115,5,2,2016-05-23,0.07,8,359
12356,"Renovated, State House View",26988,Anne,,Beacon Hill,42.35898848993431,-71.06324696239577,Entire home/apt,145,14,9,2016-08-13,0.19,13,183
12441,"[1300] 3BR, Multi-Level, Penthouse in Back Bay",25188,Seamless,,Back Bay,42.353841594317565,-71.07268038023031,Entire home/apt,414,2,42,2018-09-13,0.41,66,156
13589,"[1426-1] Newly Renovated 3 BR, Bi-Level-Back Bay",25188,Seamless,,Back Bay,42.35526319928581,-71.07279310137645,Entire home/apt,389,3,62,2018-10-26,0.59,66,247
13592,"[1279] 2 BR/1.5 BA, Bi-Level Suite",25188,Seamless,,Back Bay,42.35376288379316,-71.07423910713261,Entire home/apt,359,2,21,2017-09-28,0.21,66,345
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.323285711989264,-71.06210286717582,Entire home/apt,126,2,42,2018-09-07,0.40,24,63
21337,[1250-2NE] 2BR Lux Back Bay Rental,25188,Seamless,,Back Bay,42.34642477551046,-71.07827018647993,Entire home/apt,359,4,12,2016-11-08,0.12,66,360
21435,[1365] 1BR Across From Pru Center,25188,Seamless,,Back Bay,42.34916042859001,-71.08158746448977,Entire home/apt,199,30,0,,,66,179
