id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,"Casa Madrona - Urban Oasis, 1 block from the Park!",2536,Megan,Central Area,Madrona,47.610819276291444,-122.29081600224306,Entire home/apt,296,4,20,2018-09-18,0.16,3,345
4291,Sunrise in Seattle Master Suite,35749,Jess & Joey,Other neighborhoods,Roosevelt,47.68780100864706,-122.31342727386499,Private room,82,2,63,2018-10-06,0.96,5,365
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.52397950434662,-122.35989059909596,Entire home/apt,48,3,461,2018-11-02,4.37,1,24
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.6541086069472,-122.33760528816453,Entire home/apt,90,2,134,2018-10-21,1.18,3,287
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.5506196980812,-122.32013541411905,Private room,65,2,130,2018-09-09,1.29,5,336
9460,Downtown/Convention Ctr B&B - Nice!,30832,Siena,Downtown,First Hill,47.608009981918165,-122.32873866995098,Private room,80,3,399,2018-10-28,3.56,4,133
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.555389255794196,-122.38473862707006,Entire home/apt,165,2,35,2018-10-08,0.42,2,267
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55623565364458,-122.38598050615109,Entire home/apt,125,2,36,2018-10-29,0.43,2,352
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.654787431000194,-122.33651988462253,Entire home/apt,120,2,76,2018-10-01,0.84,3,94
9909,Luna Park Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56520912747711,-122.37374751683319,Entire home/apt,125,3,57,2018-10-23,3.75,8,22
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55364568574284,-122.36325732522702,Private room,50,5,36,2018-06-20,0.33,1,334
10385,Upscale Seattle Hotel Alternative ,35749,Jess & Joey,Northgate,Maple Leaf,47.69571857927814,-122.3119439187342,Private room,60,2,94,2018-09-23,0.85,5,335
10695,Private 2 Rooms & 1 Bath ,35749,Jess & Joey,Northgate,Maple Leaf,47.6972009725803,-122.31348102897086,Private room,109,2,21,2018-09-04,0.20,5,327
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.654476789922704,-122.33646426288396,Entire home/apt,299,2,80,2018-09-03,0.75,3,43
11411,Hotel Room & Bath Alternative,35749,Jess & Joey,Northgate,Maple Leaf,47.6957369530758,-122.31316340795988,Private room,60,2,72,2018-09-09,0.68,5,357
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Other neighborhoods,Green Lake,47.68724567609187,-122.33469570235958,Private room,40,1,121,2018-10-27,1.20,3,105
15108,Green Lake Private Ground Floor BR,39377,Bob,Other neighborhoods,Green Lake,47.688265547431456,-122.33585552400167,Private room,60,1,70,2018-10-26,0.78,3,365
15749,Artsy Green Lake guest room with active family,61636,Angela,Other neighborhoods,Green Lake,47.68407227844439,-122.32648843212662,Private room,100,3,16,2018-07-28,0.19,2,89
17951,"West Seattle, The Starlight Studio",33360,Laura,West Seattle,Fairmount Park,47.55538173399459,-122.38622263103159,Entire home/apt,105,2,88,2018-11-05,0.86,8,350
